academic_year_label,course_code,branch_code,class_name,section_name,mentor_employee_code,mentor_name
2026-27,BTECH,CSE,CSE Semester 1,A,FAC001,Rahul Iyer
2026-27,BTECH,CSE,CSE Semester 1,B,FAC002,Neha Kulkarni
2026-27,BTECH,CSE,CSE Semester 2,A,FAC003,Kavitha Nair
2026-27,BTECH,CSE,CSE Semester 2,B,FAC004,Deepak Rao
2026-27,BTECH,AIML,AIML Semester 1,A,FAC005,Sana Khan
2026-27,BTECH,AIML,AIML Semester 1,B,FAC006,Priya Bhat
2026-27,BTECH,AIML,AIML Semester 2,A,FAC007,Amit Varma
2026-27,BTECH,AIML,AIML Semester 2,B,FAC008,Farah Ali
2026-27,BTECH,ECE,ECE Semester 1,A,FAC009,Joseph Thomas
2026-27,BTECH,ECE,ECE Semester 1,B,FAC010,Leela Krishnan
2026-27,BTECH,ECE,ECE Semester 2,A,FAC011,Ritika Desai
2026-27,BTECH,ECE,ECE Semester 2,B,FAC012,Manoj Pillai
2026-27,BTECH,MECH,MECH Semester 1,A,FAC013,Suresh Nambiar
2026-27,BTECH,MECH,MECH Semester 1,B,FAC014,Pallavi Shah
2026-27,BTECH,MECH,MECH Semester 2,A,FAC015,Imran Qureshi
2026-27,BTECH,MECH,MECH Semester 2,B,FAC016,Vandana Hegde
2026-27,BCA,CA,CA Semester 1,A,FAC017,Rakesh Sinha
2026-27,BCA,CA,CA Semester 1,B,FAC018,Anita Dsouza
2026-27,BCA,CA,CA Semester 2,A,FAC019,Girish Prabhu
2026-27,BCA,CA,CA Semester 2,B,FAC020,Swati Mehra
2026-27,BBA,BA,BA Semester 1,A,FAC021,Naveen Chandra
2026-27,BBA,BA,BA Semester 1,B,FAC022,Meghna Rao
2026-27,BBA,BA,BA Semester 2,A,FAC023,Arvind Shetty
2026-27,BBA,BA,BA Semester 2,B,FAC024,Shalini Gupta
2026-27,BCOM,AT,AT Semester 1,A,FAC025,Harini Subramanian
2026-27,BCOM,AT,AT Semester 1,B,FAC026,Kiran Babu
2026-27,BCOM,AT,AT Semester 2,A,FAC027,Pavan Raj
2026-27,BCOM,AT,AT Semester 2,B,FAC028,Maya George
2026-27,MCA,SE,SE Semester 1,A,FAC029,Rohit Bansal
2026-27,MCA,SE,SE Semester 1,B,FAC030,Divya Shenoy
2026-27,MCA,SE,SE Semester 2,A,FAC031,Nandita Bose
2026-27,MCA,SE,SE Semester 2,B,FAC032,Sameer Kulkarni
