academic_year_label,employee_code,teacher_name,academic_year_label,course_code,branch_code,class_name,section_name,subject_code,subject_name
2026-27,FAC021,Naveen Chandra,2026-27,BTECH,ECE,ECE Semester 1,A,ECE101,Engineering Mathematics I
2026-27,FAC021,Naveen Chandra,2026-27,BTECH,ECE,ECE Semester 1,B,ECE101,Engineering Mathematics I
2026-27,FAC022,Meghna Rao,2026-27,BTECH,ECE,ECE Semester 1,A,ECE102,Basic Electronics
2026-27,FAC022,Meghna Rao,2026-27,BTECH,ECE,ECE Semester 1,B,ECE102,Basic Electronics
2026-27,FAC023,Arvind Shetty,2026-27,BTECH,ECE,ECE Semester 1,A,ECE103,Network Analysis
2026-27,FAC023,Arvind Shetty,2026-27,BTECH,ECE,ECE Semester 1,B,ECE103,Network Analysis
2026-27,FAC024,Shalini Gupta,2026-27,BTECH,ECE,ECE Semester 1,A,ECE104,Signals and Systems
2026-27,FAC024,Shalini Gupta,2026-27,BTECH,ECE,ECE Semester 1,B,ECE104,Signals and Systems
2026-27,FAC025,Harini Subramanian,2026-27,BTECH,ECE,ECE Semester 1,A,ECE105,Electronic Workshop
2026-27,FAC025,Harini Subramanian,2026-27,BTECH,ECE,ECE Semester 1,B,ECE105,Electronic Workshop
2026-27,FAC026,Kiran Babu,2026-27,BTECH,ECE,ECE Semester 2,A,ECE201,Engineering Mathematics I II
2026-27,FAC026,Kiran Babu,2026-27,BTECH,ECE,ECE Semester 2,B,ECE201,Engineering Mathematics I II
2026-27,FAC027,Pavan Raj,2026-27,BTECH,ECE,ECE Semester 2,A,ECE202,Basic Electronics II
2026-27,FAC027,Pavan Raj,2026-27,BTECH,ECE,ECE Semester 2,B,ECE202,Basic Electronics II
2026-27,FAC028,Maya George,2026-27,BTECH,ECE,ECE Semester 2,A,ECE203,Network Analysis II
2026-27,FAC028,Maya George,2026-27,BTECH,ECE,ECE Semester 2,B,ECE203,Network Analysis II
2026-27,FAC029,Rohit Bansal,2026-27,BTECH,ECE,ECE Semester 2,A,ECE204,Signals and Systems II
2026-27,FAC029,Rohit Bansal,2026-27,BTECH,ECE,ECE Semester 2,B,ECE204,Signals and Systems II
2026-27,FAC030,Divya Shenoy,2026-27,BTECH,ECE,ECE Semester 2,A,ECE205,Electronic Workshop II
2026-27,FAC030,Divya Shenoy,2026-27,BTECH,ECE,ECE Semester 2,B,ECE205,Electronic Workshop II
2026-27,FAC031,Nandita Bose,2026-27,BTECH,MECH,MECH Semester 1,A,MECH101,Engineering Mechanics
2026-27,FAC031,Nandita Bose,2026-27,BTECH,MECH,MECH Semester 1,B,MECH101,Engineering Mechanics
2026-27,FAC032,Sameer Kulkarni,2026-27,BTECH,MECH,MECH Semester 1,A,MECH102,Engineering Graphics
2026-27,FAC032,Sameer Kulkarni,2026-27,BTECH,MECH,MECH Semester 1,B,MECH102,Engineering Graphics
2026-27,FAC033,Bhavana Murthy,2026-27,BTECH,MECH,MECH Semester 1,A,MECH103,Manufacturing Process
2026-27,FAC033,Bhavana Murthy,2026-27,BTECH,MECH,MECH Semester 1,B,MECH103,Manufacturing Process
2026-27,FAC034,Vijay Narayan,2026-27,BTECH,MECH,MECH Semester 1,A,MECH104,Material Science
2026-27,FAC034,Vijay Narayan,2026-27,BTECH,MECH,MECH Semester 1,B,MECH104,Material Science
